name,isExcluded,orderProximity,memoryFactor,bookmarkFactor,totalWeight,picks,expectedPct,actualPct,delta%,lastSeen
"File 439","false","0.0000","1","1","0.6009253051301117","0","0.159","0.000","-0.16","never"
"File 434","false","0.0000","1","1","0.6009252750957266","0","0.159","0.000","-0.16","never"
"File 002","false","0.0000","1","1","0.4249183224974678","1","0.112","0.500","0.39","2026-05-21T18:31:09.192Z"
"File 001","false","0.0000","1","1","0.6009252406378469","0","0.159","0.000","-0.16","never"
"File 449","false","0.0000","1","1","0.42491830598348745","1","0.112","0.500","0.39","2026-05-21T18:31:35.212Z"
"File 448","false","0.0000","1","1","0.6009252248984924","0","0.159","0.000","-0.16","never"
"File 101","false","0.0000","1","1","1.2018504413498203","0","0.317","0.000","-0.32","never"
"File 406","false","0.0000","1","1","1.2018504357400261","0","0.317","0.000","-0.32","never"
"File 100","false","0.0000","0.46042439415613545","1","0.39128549729624473","1","0.103","0.500","0.40","2026-05-21T18:34:48.679Z"
"File 381","false","0.0000","1","1","1.201850429603004","0","0.317","0.000","-0.32","never"
"File 095","false","0.0000","0.9601823302769574","1","0.8159980750566842","1","0.215","0.500","0.28","2026-05-21T18:32:15.286Z"
"File 380","false","0.0000","1","1","1.2018504269834307","0","0.317","0.000","-0.32","never"
"File 094","false","0.0000","1","1","1.201850426317622","0","0.317","0.000","-0.32","never"
"File 099","false","0.0000","1","2.5","1.201850425890171","0","0.317","0.000","-0.32","never"
"File 098","false","0.0000","1","1","1.201850425617286","0","0.317","0.000","-0.32","never"
"File 097","false","0.0000","1","1","1.2018504254440532","0","0.317","0.000","-0.32","never"
"File 372","false","0.0000","1","1","1.2018504253346984","0","0.317","0.000","-0.32","never"
"File 441","false","0.0000","1","1","0.600925212633027","0","0.159","0.000","-0.16","never"
"File 440","false","0.0000","1","1","0.6009252126116026","0","0.159","0.000","-0.16","never"
"File 093","false","0.0000","0.7723459570378804","1","0.6563678510530154","1","0.173","0.500","0.33","2026-05-21T18:33:19.727Z"
"File 090","false","0.0000","1","1","1.2018504251801916","0","0.317","0.000","-0.32","never"
"File 005","false","0.0000","1","1","1.2018504251701152","0","0.317","0.000","-0.32","never"
"File 118","false","0.0000","0.2956622558129588","1","0","1","0.000","0.500","0.50","2026-05-21T18:35:55.924Z"
"File 117","false","0.0000","1","1","1.2018504251602318","0","0.317","0.000","-0.32","never"
"File 127","false","0.0000","1","1","1.2018504251579787","0","0.317","0.000","-0.32","never"
"File 112","false","0.0000","1","1","1.2018504251566264","0","0.317","0.000","-0.32","never"
"File 108","false","0.0000","1","1","1.2018504251558195","0","0.317","0.000","-0.32","never"
"File 107","false","0.0000","1","2.5","0.6938886664891019","2","0.183","1.000","0.82","2026-05-21T18:35:14.508Z"
"File 132","false","0.0000","1","1","1.2018504251550575","0","0.317","0.000","-0.32","never"
"File 128","false","0.0000","1","2.5","1.2018504251548916","0","0.317","0.000","-0.32","never"
"File 133","false","0.0000","1","1","1.2018504251547948","0","0.317","0.000","-0.32","never"
"File 019","false","0.0000","0.4517178826149696","1","0.38388638301544825","1","0.101","0.500","0.40","2026-05-21T18:34:50.491Z"
"File 013","false","0.0000","1","1","1.201850425154706","0","0.317","0.000","-0.32","never"
"File 443","false","0.0000","1","1","0.6009252125773437","0","0.159","0.000","-0.16","never"
"File 020","false","0.0000","1","1","1.2018504251546767","0","0.317","0.000","-0.32","never"
"File 018","false","0.0000","1","2.5","0.6938886664887154","2","0.183","1.000","0.82","2026-05-21T18:34:57.623Z"
"File 021","false","0.0000","1","1","1.2018504251546673","0","0.317","0.000","-0.32","never"
"File 125","false","0.0000","1","2.5","0.8498365855987992","1","0.224","0.500","0.28","2026-05-21T18:35:02.406Z"
"File 428","false","0.0000","0.49645198547941227","1","0.421903060253568","1","0.111","0.500","0.39","2026-05-21T18:34:35.863Z"
"File 012","false","0.0000","0.8827530240109831","1","0.7501958158525076","1","0.198","0.500","0.30","2026-05-21T18:32:54.876Z"
"File 022","false","0.0000","0.2608917418855863","1","0","1","0.000","0.500","0.50","2026-05-21T18:36:16.421Z"
"File 084","false","0.0000","0.34375","1","0.29213132629958666","1","0.077","0.500","0.42","2026-05-21T18:35:37.365Z"
"File 083","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 082","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 032","false","0.0000","0.8576123947206583","1","0.7288303892966125","1","0.192","0.500","0.31","2026-05-21T18:32:58.692Z"
"File 023","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 147","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:28:47.660Z"
"File 146","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 137","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 135","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 149","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 148","false","0.0000","0.5246913714526441","1","0.4459019236084654","1","0.118","0.500","0.38","2026-05-21T18:34:27.373Z"
"File 150","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 155","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 158","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 171","false","0.0000","1","2.5","0.8498365855987976","1","0.224","0.500","0.28","2026-05-21T18:30:46.867Z"
"File 156","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 170","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 160","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 172","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:29:57.622Z"
"File 173","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 175","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 242","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:29:48.952Z"
"File 344","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:30:16.440Z"
